time_s,current_density_Acm2,voltage_exp_V,voltage_model_V,temperature_exp_C,temperature_model_C,max_ice_volume_fraction,max_pore_ice_saturation,membrane_lambda,generated_water_kgm2,retained_pore_water_kgm2,membrane_sorbed_kgm2,escaped_water_kgm2,heat_generated_Jm2,latent_released_Jm2,heat_lost_Jm2,heat_storage_Jm2,energy_balance_error_Jm2
0.0,0.006,0.799,0.8001097881028384,-19.99535477911209,-19.995354779112176,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.006,0.799,0.8001694354333054,-19.99535477911209,-19.99403804268391,0.0,0.0,3.001856477126775,1.11934497590299e-06,9.42976552599537e-10,8.621479776742547e-07,2.562540216761403e-07,8.158246431740771,0.0,0.08718985753802144,8.071056549923352,2.4279398047610812e-08
0.4,0.007,0.8,0.7916183490692466,-19.993905207799145,-19.992604547247396,0.0,0.0,3.0038673107309326,2.331968699797896e-06,1.0806443224748757e-09,1.7959791034448652e-06,5.349089520305564e-07,17.05404047869475,0.0,0.19611429978226624,16.857926118241803,6.067067914727886e-08
0.6,0.007,0.8,0.791690380445742,-19.992502715071993,-19.99105413098195,0.0,0.0,3.0060324164025762,3.6378711716847174e-06,1.1014907119180124e-09,2.80145417735627e-06,8.35315503616537e-07,26.69076862636829,0.0,0.32928621961661975,26.361482412488566,-5.736897179531297e-09
0.8,0.006,0.8,0.8003678835490543,-19.99106601796501,-19.989628658706806,0.0,0.0,3.0080424773002514,4.850494895579623e-06,9.609750022280285e-10,3.7349264582368318e-06,1.1146074623405696e-06,35.58483173552985,0.0,0.4855937236705132,35.099237992042625,1.9816717156118102e-08
1.0,0.006,0.8,0.8004272277516731,-19.98963334868654,-19.988327265141976,0.0,0.0,3.009897597092922,5.969839871482614e-06,9.45249746436892e-10,4.596444089952914e-06,1.3724505317832721e-06,43.73998316668397,0.0,0.6635630062822543,43.07642020201871,-4.161699251881146e-08
1.2,0.007,0.8,0.791885275719279,-19.988242898954383,-19.986909101765463,0.0,0.0,3.0119069605076594,7.18246359537752e-06,1.083247462236118e-09,5.529592459757044e-06,1.6517878881582534e-06,52.63236545265893,0.0,0.8630711732614827,51.769294373218905,-9.382145549352572e-08
1.4,0.007,0.8,0.7919569411659664,-19.986818077674656,-19.985374032802184,0.0,0.0,3.0140704831962837,8.488366067264342e-06,1.1041418692836059e-09,6.534332396354094e-06,1.952929529040978e-06,62.26535968070183,0.0,1.086591274962268,61.17876855926768,-1.5352811999491678e-07
1.6,0.007,0.8,0.7920285085514295,-19.985473550325025,-19.983843002768822,0.0,0.0,3.0162335692459683,9.794268539151166e-06,1.1048909211020857e-09,7.538869557827494e-06,2.2542940904025873e-06,71.89737341181763,0.0,1.3338646185462608,70.5635089440392,-1.5076783199674537e-07
1.8,0.006,0.8,0.800693642191313,-19.984094614370747,-19.982436995465804,0.0,0.0,3.0182417742301313,1.1006892263046071e-05,9.67828554834486e-10,8.471479952472795e-06,2.5344444820184615e-06,80.78708152476187,0.0,1.6051289806385285,79.18195275887928,-2.1475592859587778e-07
2.0,0.007,0.8,0.7921610922079994,-19.98264301189576,-19.981034657363182,0.0,0.0,3.0202496120463214,1.2219515986940977e-05,1.0859487596817778e-09,9.403919834311346e-06,2.8145102038699704e-06,89.6759381901783,0.0,1.8980898621220945,87.7778485955202,-2.67463988734562e-07
2.2,0.006,0.8,0.8008213899800931,-19.981233739111815,-19.97963609395589,0.0,0.0,3.022257073570403,1.3432139710835883e-05,9.650626420353285e-10,1.0336184966094516e-05,3.0949896820993536e-06,98.56399190331975,0.0,2.2133508076655635,96.3506413679211,-2.722669165677871e-07
2.4,0.006,0.8,0.8008802060771179,-19.97982836914474,-19.97836144798532,0.0,0.0,3.0241097943564514,1.4551484686738871e-05,9.492678419600446e-10,1.1196588499135346e-05,3.3539469197616006e-06,106.71370499355204,0.0,2.5498411719099185,104.16386414899598,-3.2735385957494145e-07
2.6,0.006,0.8,0.8009389539967997,-19.978465069634865,-19.977090126773817,0.0,0.0,3.025962194641744,1.567082966264186e-05,9.498178882964633e-10,1.2056843191624976e-05,3.6130366531286256e-06,114.86272821148627,0.0,2.906041674358938,111.95668686798975,-3.308624059172871e-07
2.8,0.006,0.8,0.8009976338662311,-19.977105534431615,-19.975822294153232,0.0,0.0,3.0278142901121083,1.6790174638544847e-05,9.503154774122534e-10,1.2916956328062288e-05,3.872267995005189e-06,123.01103149791878,0.0,3.2829120203270814,119.72811985916186,-3.815701603571142e-07
3.0,0.006,0.8,0.8010562458507887,-19.975673343168808,-19.97455777282181,0.0,0.0,3.0296660651898892,1.7909519614447834e-05,9.50865361921282e-10,1.3776920674183889e-05,4.131648074902082e-06,131.15864651547906,0.0,3.6793931051560564,127.47925379201638,-3.81693368467495e-07
3.2,0.006,0.8,0.8011147900808377,-19.974206805547624,-19.97329663888914,0.0,0.0,3.031517527743709,1.9028864590350822e-05,9.51388982041857e-10,1.4636739884178007e-05,4.3911733171908315e-06,139.30555865433206,0.0,4.095935714426584,135.20962331398394,-3.740784677574993e-07
3.4,0.006,0.8,0.8011732666866986,-19.972820922226305,-19.97203896742664,0.0,0.0,3.0333686856369066,2.014820956625381e-05,9.518863521438931e-10,1.549641760977903e-05,4.650840070122691e-06,147.4517533469085,0.0,4.532985049047877,142.9187687041893,-4.0632866671330703e-07
3.6,0.006,0.8,0.8012316758249003,-19.97143886873448,-19.97078458164509,0.0,0.0,3.035219523299712,2.1267554542156798e-05,9.5243599482914e-10,1.635594662038573e-05,4.9106554857763e-06,155.59726216312004,0.0,4.989488786448604,150.60777378373808,-4.0706663639866747e-07
